image_index,label,recall@1,recall@5,recall@10,recall@20
2218,46,0.00641,0.03205,0.0641,0.12821
2219,46,0.00641,0.03205,0.0641,0.12821
2220,46,0.00641,0.03205,0.0641,0.12821
2221,46,0.00641,0.03205,0.0641,0.12821
2222,46,0.00641,0.03205,0.0641,0.12821
2223,46,0.00641,0.03205,0.0641,0.12821
2224,46,0.00641,0.03205,0.0641,0.12821
2225,46,0.00641,0.03205,0.0641,0.12821
2226,46,0.00641,0.03205,0.0641,0.12821
2227,46,0.00641,0.03205,0.0641,0.12821
2228,46,0.00641,0.03205,0.0641,0.12821
2229,46,0.00641,0.03205,0.0641,0.12821
2230,46,0.00641,0.03205,0.0641,0.12821
2231,46,0.00641,0.03205,0.0641,0.12821
2232,46,0.00641,0.03205,0.0641,0.12821
2233,46,0.00641,0.03205,0.0641,0.12821
2234,46,0.00641,0.03205,0.0641,0.12821
2235,46,0.00641,0.03205,0.0641,0.12821
2236,46,0.00641,0.03205,0.0641,0.12821
2237,46,0.00641,0.03205,0.0641,0.12821
2238,46,0.00641,0.03205,0.0641,0.12821
2239,46,0.00641,0.03205,0.0641,0.12179
2240,46,0.00641,0.03205,0.0641,0.12821
2241,46,0.00641,0.03205,0.0641,0.12821
2242,46,0.00641,0.03205,0.0641,0.12821
2243,46,0.00641,0.03205,0.0641,0.12821
2244,46,0.00641,0.03205,0.0641,0.12821
2245,46,0.00641,0.03205,0.0641,0.12821
2246,46,0.00641,0.03205,0.0641,0.12821
2247,46,0.00641,0.03205,0.0641,0.12821
2248,46,0.00641,0.03205,0.0641,0.12821
2249,46,0.00641,0.03205,0.0641,0.12821
2250,46,0.00641,0.03205,0.0641,0.12821
2251,46,0.00641,0.03205,0.0641,0.12821
2252,46,0.00641,0.03205,0.0641,0.12821
2253,46,0.00641,0.03205,0.0641,0.12821
2254,46,0.00641,0.03205,0.0641,0.12821
2255,46,0.00641,0.03205,0.0641,0.12821
2256,46,0.00641,0.03205,0.0641,0.12821
2257,46,0.00641,0.03205,0.0641,0.12821
2258,46,0.00641,0.03205,0.0641,0.12821
2259,46,0.00641,0.03205,0.0641,0.12821
2260,46,0.00641,0.03205,0.0641,0.12821
2261,46,0.00641,0.03205,0.0641,0.12821
2262,46,0.00641,0.03205,0.0641,0.12821
2263,46,0.00641,0.03205,0.0641,0.12821
2264,46,0.00641,0.03205,0.0641,0.12821
2265,46,0.00641,0.03205,0.0641,0.12821
2266,46,0.00641,0.03205,0.0641,0.12821
2267,46,0.00641,0.03205,0.0641,0.12821
2268,46,0.00641,0.03205,0.0641,0.12821
2269,46,0.00641,0.03205,0.0641,0.12821
2270,46,0.00641,0.03205,0.0641,0.12821
2271,46,0.00641,0.03205,0.0641,0.12821
2272,46,0.00641,0.03205,0.0641,0.12821
2273,46,0.00641,0.03205,0.0641,0.12821
2274,46,0.00641,0.03205,0.0641,0.11538
2275,46,0.00641,0.03205,0.0641,0.12821
2276,46,0.00641,0.03205,0.0641,0.12821
2277,46,0.00641,0.03205,0.0641,0.12821
2278,46,0.00641,0.03205,0.0641,0.12821
2279,46,0.00641,0.03205,0.0641,0.12821
